##### auto-generated by ParameterCache #######
##### printed on Mon Aug 10 11:15:31 2026 ######
# ParameterName                  value       errLow      errHigh

----- SOLUTION 0 -----
### FCN: 51.299, EDM: 8.58829e-07
### COV quality: 2, status: 1, confirmed: yes
Acp_KK                        0.000887    -0.000512     0.000512
Acp_KP                        0.000000     1.000000    -1.000000
Acp_PP                        0.002432    -0.000563     0.000563
Delta_K3pi                   -0.014514    -2.537893     2.537893
Delta_Kpi                    -0.255944    -0.051089     0.051089
F_pipipi0                     0.942554    -0.004039     0.004039
k_K3pi                        0.466322    -0.756789     0.756789
r_K3pi                        0.054875    -0.000718     0.000718
r_Kpi                         0.058626    -0.000098     0.000098
# Theoretical
x12                           0.003907    -0.000439     0.000439
y12                           0.006315    -0.000211     0.000211
phiG                          0.035031    -0.026994     0.026994
phiM                          0.000889    -0.012697     0.012697
# Phenomenological
