# ParameterName                  value       errLow      errHigh
----- SOLUTION 0 -----
### FCN: 36.7869, EDM: 3.14006e-09
### COV quality: 3, status: 0, confirmed: yes
Acp_KK                       -0.000158    -0.001601     0.001601
Acp_KP                       -0.009909    -0.009006     0.009006
Acp_PP                        0.000485    -0.001661     0.001661
Delta_K3pi                    0.482519    -0.263823     0.263823
Delta_Kpi                    -0.166096    -0.120435     0.120435
Delta_Kpipi0                 -0.275922    -0.190635     0.190635
F_pipipi0                     0.944869    -0.005993     0.005993
k_K3pi                        0.503551    -0.071830     0.071830
k_Kpipi0                      0.790311    -0.039876     0.039876
r_K3pi                        0.054695    -0.000437     0.000437
r_Kpi                         0.058660    -0.000317     0.000317
r_Kpipi0                      0.044091    -0.001099     0.001099
# Theoretical
x12                           0.002387    -0.001668     0.001668
y12                           0.006267    -0.000420     0.000420
phiM                         -0.030009    -0.073599     0.073599
phiG                          0.102935    -0.116879     0.116879
# Phenomenological
x                             0.002501    -0.001343     0.001343
y                             0.005944    -0.000390     0.000390
phi                          -0.064642    -0.097803     0.097803
qop                           0.932288    -0.052896     0.052896
