##### auto-generated by ParameterCache #######
##### printed on Thu May 28 10:33:13 2026 ######
# ParameterName                  value       errLow      errHigh

----- SOLUTION 0 -----
### FCN: 2.85794e-05, EDM: 2.85859e-05
### COV quality: 3, status: 0, confirmed: yes
Delta_Kpi                    -0.242398    -0.005790     0.005790
F_pipipi0                     0.942999    -0.126424     0.126424
R_Kpi                         0.343508    -0.000122     0.000122
phiG                          0.0         -0.002852     0.002852
phiM                          0.0         -0.002384     0.002384
x12                           0.392532    -0.004337     0.004337
y12                           0.627788    -0.002288     0.002288
Acp_KP                       -0.000022    -0.030871     0.030871
Acp_KK                        0.077543    -0.005390     0.005390
Acp_PP                        0.231415    -0.005939     0.005939
cot_delta_KK                  1.          -3.381800     3.381800
cot_delta_PP                  1.          -1.347754     1.347754
delta_KK                     -0.6         -3.381800     3.381800
delta_PP                     -0.6         -1.347754     1.347754
r_KK                          1.          -3.381800     3.381800
r_PP                          1.          -1.347754     1.347754
